Depth_from_Surface_cm,Age_wmean,Ave_Density,Ave_Organics,MagSuscept_10^-5
1,5297.5,,,2.32
2,5337.7,,,2.35
3,5382.6,,,2.64
4,5426.3,,,3.56
5,5471.5,1.0061,8.093440302,4.66
6,5511.5,,,3.04
7,5557,1.6922,8.278780665,3.66
8,5603.2,1.1048,3.892107169,2.71
9,5646.9,0.6689,3.064733144,3.06
10,5693.1,1.4008,4.376070817,2.68
11,5739,0.9655,4.961160021,3.005
12,5783.9,0.8974,3.532427011,4.08
13,5828.6,1.3761,3.364581062,2.835
14,5876.2,0.7557,4.472674342,4.515
15,5922.4,1.0063,3.259465368,3.885
16,5967.8,1.4834,3.303222327,3.365
17,6014.3,0.9223,3.415374607,2.475
18,6058,1.4718,5.958690039,2.39
19,6103.9,0.8857,5.983967483,1.745
20,6148.6,0.9591,4.274840997,3.725
21,6196.3,0.6934,3.663109316,6.045
22,6239.6,1.1555,4.846386846,7.77
23,6286.2,0.8339,5.228444658,4.045
24,6329.7,1.0689,3.676676958,1.21
25,6375.4,1.5286,4.010205417,1.18
26,6422.8,1.2195,5.354653547,0.905
27,6467.9,1.0594,5.682461771,0.94
28,6512.4,0.6782,3.125921557,-2.66
29,6558,0.9806,2.998164389,1.595
30,6604.4,1.0691,3.601159854,4.205
31,6647.1,1.2422,2.833682177,2.36
32,6694.7,1.185,2.683544304,1.52
33,6739.6,1.1699,2.624155911,2.665
34,6782.8,1.2151,2.773434285,4.295
35,6828.9,1.0769,5.097966385,4.835
36,6871.6,0.1241,8.72960045,4.19
37,6916.5,0.1317,8.953701815,3.965
38,6960.4,0.143,9.26525852,4.585
39,7006.3,1.2495,7.066826731,4.92
40,7049.9,1.1945,6.035998326,1.905
41,7093.7,1.2182,6.887210639,2.83
42,7139.3,0.9088,9.07790493,2.445
43,7181.6,1.3965,8.693161475,3.29
44,7227.6,1.1783,7.035559705,3.28
45,7269.8,1.2726,6.608517995,3.58
46,7310.6,0.7013,7.671467275,3.72
47,7359.9,1.1604,7.850741124,4.205
48,7405.2,1.2637,7.114030229,3.03
49,7448.5,1.1933,6.905220816,3.615
50,7490.7,1.3951,8.386495592,3.635
51,7525.8,1.2666,8.763619138,3.675
52,7564.1,1.4054,6.880603387,4.28
53,7601.6,1.3824,6.329571759,3.41
54,7638.9,1.292,7.747678019,4.395
55,7677,1.1903,7.552717802,5.5
56,7712.5,1.4978,5.821872079,5.14
57,7748.5,1.3231,6.703952838,5.12
58,7788.1,1.2542,7.702120874,4.64
59,7824.8,1.2438,6.978613925,5.89
60,7863.5,1.2831,6.3128361,5.64
61,7899.1,1.1008,5.632267442,5.155
62,7937.3,1.3796,5.813279211,3.46
63,7973.8,1.5897,4.956910109,6.2
64,8012.5,1.4141,4.985503147,7.2
65,8048.8,1.4441,4.805761374,7.01
66,8085.8,1.3737,5.117565698,4.81
67,8123.8,1.3751,2.450730856,3.88
68,8159.7,1.4667,3.82491307,4.375
69,8195.9,1.1822,3.857215361,3.765
70,8233,1.3989,3.195367789,2.92
71,8271.5,1.3845,3.553629469,3.735
72,8308.4,1.2223,3.935204123,4.62
73,8346.4,1.2641,4.034490942,6.535
